"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"211" -86.75 51.75 "Control" 46 4 0 38 3 244 4 0 207 3 0.61 2.84 0 0 0.86
"212" -60.25 50.75 "Control" 36 0 0 21 0 175 0 0 120 0 0.63 0 0 0.2 0.15
"213" -60.25 51.25 "Control" 5 0 0 22 0 39 0 0 145 1 0.25 0 0 0.17 0.1
"214" -56.25 51.25 "Control" 22 0 0 23 0 151 0 0 147 0 0.45 0 0 0.24 0.15
"215" 24.25 66.25 "Control" 23 0 0 22 0 124 2 0 141 1 0.84 2.09 0 0.06 0.92
"216" 26.25 69.25 "Control" 0 0 0 128 0 1296 0 0 2832 0 1.56 0 0 0.56 0.68
"217" 31.75 68.75 "Control" 0 0 0 19 0 43 0 0 190 0 0.07 0 0 0.27 0.07
"218" 35.25 66.75 "Control" 34 0 0 21 1 224 0 0 204 1 2.28 0 0 0.03 0
"219" 39.75 63.25 "Control" 44 0 0 26 0 308 0 0 223 4 0.37 0 0 0.32 0.17
"220" 42.75 65.25 "Control" 31 0 0 21 0 256 0 0 209 3 0.48 0.14 0 0.64 0.35
"221" 52.75 61.75 "Control" 12 0 0 15 0 181 4 0 178 5 0.63 1.19 0 0.48 0.85
"222" 62.25 59.25 "Control" 19 0 0 14 0 217 0 0 132 3 0.39 4.63 0 0.08 0.83
"223" 63.75 63.75 "Control" 9 0 0 13 0 184 3 0 218 6 2.84 0 0 0.09 0.28
"224" 64.75 60.75 "Control" 13 0 0 14 0 180 3 0 150 1 0.27 5.64 0 0.14 0.23
"225" 113.25 54.25 "Control" 25 0 0 23 0 283 0 0 271 8 0.5 0 0 0.05 0.15
"226" 161.25 54.75 "Control" 0 0 0 200 0 2704 0 0 2336 16 11.88 0 0 0 1
"227" -158.25 65.25 "Control" 7 0 0 12 0 66 0 0 161 0 0.79 0 0 0.12 0
"228" -156.75 66.75 "Control" 0 0 0 16 0 0 0 0 216 0 0.58 0 0 0.15 0
"229" -156.25 65.75 "Control" 43 0 0 23 0 358 0 0 227 1 1.2 0 0 0.03 0.25
"230" -143.75 67.25 "Control" 51 0 0 39 4 322 0 0 310 12 1.34 0 0 0.02 0.78
"231" -84.75 52.25 "Control" 26 0 0 30 0 192 2 0 183 1 0.88 0.1 0 0.09 0.7
"232" -77.25 48.25 "Control" 56 0 0 29 1 345 0 0 191 1 4.48 0 0 0.02 0.19
"233" -64.25 52.25 "Control" 3 0 0 22 0 19 0 0 163 0 0.01 0 0 0.18 0.02
"234" 23.75 66.75 "Control" 42 0 0 28 0 307 0 0 209 2 5.88 0 0 0 0.68
"235" 38.75 60.75 "Control" 54 9 0 32 4 263 12 0 149 6 5.17 1.65 0 0 1.16
